Attenuation [dB], UCS Amplitude [mV/dBm], UCS Power [dBm], CS Amplitude [mV/dBm], CS Power [dBm]
0.000000, 1.015624, -0.977432, 1.182860, -7.261458
0.500000, 1.025695, -0.991169, 1.177977, -7.497904
1.000000, 1.032103, -1.585494, 1.194152, -7.813108
1.500000, 1.033324, -1.725316, 1.194762, -7.931333
2.000000, 1.047973, -2.148887, 1.210631, -8.602792
2.500000, 1.044615, -2.198517, 1.214294, -8.744676
3.000000, 1.062011, -2.931043, 1.209716, -9.298750
3.500000, 1.083067, -2.994886, 1.228636, -9.454197
4.000000, 1.096496, -3.661422, 1.237181, -10.045186
4.500000, 1.086425, -3.786551, 1.254271, -10.079266
5.000000, 1.111144, -4.547578, 1.269530, -10.805111
5.500000, 1.124267, -4.621775, 1.269530, -10.866551
6.000000, 1.116332, -5.361546, 1.287230, -11.629316
6.500000, 1.130981, -5.458671, 1.286315, -11.840476
7.000000, 1.148680, -6.331360, 1.305540, -12.642788
7.500000, 1.170654, -6.439258, 1.307372, -12.721240
8.000000, 1.185302, -7.226569, 1.326293, -13.370566
8.500000, 1.191100, -7.332446, 1.335754, -13.467393
9.000000, 1.186217, -8.191053, 1.352233, -14.286040
9.500000, 1.196899, -8.124594, 1.357115, -14.521065
10.000000, 1.228636, -9.030783, 1.363524, -15.272424
10.500000, 1.231383, -9.310444, 1.369322, -15.596568
11.000000, 1.255797, -10.050739, 1.398314, -16.265178
11.500000, 1.247253, -10.205719, 1.398314, -16.552272
12.000000, 1.264647, -11.017214, 1.431273, -17.357894
12.500000, 1.275939, -11.412751, 1.439207, -17.488237
13.000000, 1.283568, -11.907158, 1.448363, -18.270632
13.500000, 1.296385, -12.188672, 1.465758, -18.497019
14.000000, 1.314696, -12.923864, 1.469725, -19.319276
14.500000, 1.325072, -13.123289, 1.488646, -19.352587
15.000000, 1.359252, -14.011670, 1.507567, -20.361269
15.500000, 1.347655, -14.212357, 1.495360, -20.442279
16.000000, 1.371459, -14.999521, 1.523131, -21.240110
16.500000, 1.383055, -15.122845, 1.532592, -21.430951
17.000000, 1.389464, -15.936709, 1.539610, -22.309525
17.500000, 1.395872, -16.176142, 1.548156, -22.364830
18.000000, 1.414184, -16.982529, 1.571349, -23.287600
18.500000, 1.419066, -17.159793, 1.575927, -23.350167
19.000000, 1.455077, -17.942846, 1.603697, -24.198721
19.500000, 1.452330, -18.100141, 1.606139, -24.502634
20.000000, 1.465148, -18.950717, 1.619261, -25.206524
20.500000, 1.465758, -19.106109, 1.627501, -25.463951
21.000000, 1.488036, -19.959309, 1.631773, -26.248188
21.500000, 1.487426, -20.180844, 1.653441, -26.475666
22.000000, 1.495665, -20.986988, 1.671751, -27.175835
22.500000, 1.529234, -21.136254, 1.677550, -27.273305
23.000000, 1.538085, -21.935327, 1.695555, -28.173913
23.500000, 1.551512, -22.182934, 1.705931, -28.413058
24.000000, 1.557616, -22.824321, 1.704406, -29.074623
24.500000, 1.558226, -23.045926, 1.714781, -29.317245
25.000000, 1.597593, -23.877344, 1.727599, -30.062731
25.500000, 1.591490, -23.954832, 1.721801, -30.291508
26.000000, 1.615294, -24.803394, 1.745909, -31.050986
26.500000, 1.615600, -25.074442, 1.756285, -31.271341
27.000000, 1.650389, -25.764778, 1.769713, -31.964150
27.500000, 1.633605, -26.051473, 1.789854, -32.138186
28.000000, 1.667174, -26.819000, 1.806334, -33.065418
28.500000, 1.664732, -27.093404, 1.800535, -33.198323
29.000000, 1.685179, -27.848343, 1.823119, -33.993223
29.500000, 1.677855, -27.991933, 1.829222, -34.232910
30.000000, 1.689757, -28.811751, 1.853025, -34.979134
30.500000, 1.691588, -29.000941, 1.865538, -35.148422
31.000000, 1.717833, -29.825176, 1.869200, -35.931764
31.500000, 1.719969, -29.994001, 1.864928, -36.131417
32.000000, 1.739806, -30.099088, 1.873473, -36.230915
32.500000, 1.767577, -30.980481, 1.890868, -37.148792
33.000000, 1.755980, -31.207178, 1.895140, -37.247924
33.500000, 1.787413, -32.071369, 1.910093, -38.201500
34.000000, 1.787413, -32.234009, 1.928404, -38.438766
